"datetime","bsadf_btc","bsadf_eth","bsadf_ltc"
"2017-01-17 23:59:59",-0.596665309464148,-1.2797503517299,-2.34809638885001
"2017-01-18 23:59:59",-0.523412446146601,-1.28643211352478,-2.35158820498571
"2017-01-19 23:59:59",-0.546315400366345,-1.26682029413287,-2.35307770053972
"2017-01-20 23:59:59",-0.45471715849887,-1.25573063640917,-2.35570691511509
"2017-01-21 23:59:59",-0.462418523896876,-1.26677239313947,-2.36348512258661
"2017-01-22 23:59:59",-0.466455101347631,-1.27063070028954,-2.36692478294226
"2017-01-23 23:59:59",-0.586726191924568,-1.28789784409129,-2.37060152973739
"2017-01-24 23:59:59",-0.565117491772098,-1.29143091524008,-2.37550983430511
"2017-01-25 23:59:59",-0.496729306730694,-1.29410867258834,-2.37964016614173
"2017-01-26 23:59:59",-0.491046675224984,-1.29947093674407,-2.38201315682238
"2017-01-27 23:59:59",-0.488695849490498,-1.30271817640826,-2.38581213517532
"2017-01-28 23:59:59",-0.513626205895804,-1.30973986987079,-2.38957144921591
"2017-01-29 23:59:59",-0.494958213684435,-1.31175077598974,-2.37858354268998
"2017-01-30 23:59:59",-0.343658793362135,-1.31269682128687,-2.37326181500987
"2017-01-31 23:59:59",-0.268740019192557,-1.3158450139865,-2.37469197540753
"2017-02-01 23:59:59",-0.162430486272786,-1.31512515471743,-2.37591112986212
"2017-02-02 23:59:59",-0.133882264315719,-1.3120897895042,-2.39163789459901
"2017-02-03 23:59:59",-0.0464711425011695,-1.28578225590571,-2.39737590584642
"2017-02-04 23:59:59",-0.149673752052465,-1.29842680158878,-2.40730810798168
"2017-02-05 23:59:59",-0.119424497875978,-1.29641497831422,-2.41013434910085
"2017-02-06 23:59:59",0.0102751553303524,-1.2847529572396,-2.40715825251432
"2017-02-07 23:59:59",0.0184864432970848,-1.29862117583603,-2.41756166586936
"2017-02-08 23:59:59",-0.366481158626662,-1.34189185366352,-2.43989730962206
"2017-02-09 23:59:59",-0.337506139316318,-1.31920204208091,-2.44451360594343
"2017-02-10 23:59:59",-0.272042290463923,-1.30973347165005,-2.44715260804625
"2017-02-11 23:59:59",-0.321639272504953,-1.31751124791867,-2.45217417419909
"2017-02-12 23:59:59",-0.341507112902913,-1.32799133171335,-2.45532609397118
"2017-02-13 23:59:59",-0.299262819949388,-1.12596371171128,-2.45836918848059
"2017-02-14 23:59:59",-0.310990265698393,-1.13352920180417,-2.46032395702813
"2017-02-15 23:59:59",-0.202400755639952,-1.15353219699311,-2.46021787206452
"2017-02-16 23:59:59",-0.110599182311109,-1.17965286282773,-2.4653742197961
"2017-02-17 23:59:59",-0.110544975706696,-1.15883040576043,-2.47287548061581
"2017-02-18 23:59:59",-0.144081717953536,-1.16702359742424,-2.47633504728323
"2017-02-19 23:59:59",-0.0226549992430134,-1.17224544587332,-2.47913959621366
"2017-02-20 23:59:59",0.168400034018758,-1.17541980459997,-2.48040249030586
"2017-02-21 23:59:59",0.143578953103389,-1.20092660616785,-2.48121634702008
"2017-02-22 23:59:59",0.422001399882859,-1.10240149662514,-2.47939325023117
"2017-02-23 23:59:59",0.377359352136247,-1.11938872426466,-2.48297299336889
"2017-02-24 23:59:59",0.199858972112366,-1.02424385120856,-2.49232135070155
"2017-02-25 23:59:59",0.330580823989129,-0.80218255571421,-2.49245299253714
"2017-02-26 23:59:59",0.373048453939381,-0.596696309914123,-2.49782524896032
"2017-02-27 23:59:59",0.341270114598962,-0.503646060091756,-2.50333540418072
"2017-02-28 23:59:59",0.496804634379302,-0.00842835256336434,-2.5020563676395
"2017-03-01 23:59:59",0.639610148024823,0.678777564767757,-2.48923283306248
"2017-03-02 23:59:59",0.747907904278195,0.871258302436271,-2.4829968759113
"2017-03-03 23:59:59",0.620659713858177,0.507532151929511,-2.49945134253347
"2017-03-04 23:59:59",0.633821869920087,0.682583526384593,-2.50529499372607
"2017-03-05 23:59:59",0.634216849338456,0.775551076164374,-2.49053381693255
"2017-03-06 23:59:59",0.38603457674621,0.460537748534451,-2.5035556977422
"2017-03-07 23:59:59",-0.00700560054623152,-0.205922009165821,-2.54154732060686
"2017-03-08 23:59:59",0.144387222598353,0.00296928722541594,-2.53975125458756
"2017-03-09 23:59:59",-0.237100078097907,0.388042860114744,-2.55618434219689
"2017-03-10 23:59:59",0.0241414460826324,0.885060113432791,-2.56314413585758
"2017-03-11 23:59:59",0.198925054830262,1.26633482973699,-2.55705928257807
"2017-03-12 23:59:59",0.236286240676509,2.33552814999606,-2.45711989190943
"2017-03-13 23:59:59",0.236176889336016,2.20010984261341,-2.53044538614774
"2017-03-14 23:59:59",0.269460200558636,3.15328905483709,-2.49928261559404
"2017-03-15 23:59:59",0.0926317049843366,3.97708893875511,-2.47708922399329
"2017-03-16 23:59:59",-0.397194918988647,4.42503665037571,-2.62005998156331
"2017-03-17 23:59:59",-0.693377457430361,1.49287383681014,-2.62944801533988
"2017-03-18 23:59:59",-0.55982746102346,2.72860620350483,-2.64352758761333
"2017-03-19 23:59:59",-0.532945925134838,2.24540852349364,-2.63619524332958
"2017-03-20 23:59:59",-0.357503084697415,2.20161960714562,-2.62972508079868
"2017-03-21 23:59:59",-0.548798440866336,1.93404322873778,-2.65388312208576
"2017-03-22 23:59:59",-0.577776371168066,2.07281728025292,-2.65197756304849
"2017-03-23 23:59:59",-0.790274235346832,2.73819787529324,-2.6237911359748
"2017-03-24 23:59:59",-0.740878752990915,2.57604671596606,-2.64150450885536
"2017-03-25 23:59:59",-0.766718554999989,2.38945331792041,-2.65854430198294
"2017-03-26 23:59:59",-0.587547171980852,2.18272562710997,-2.64491985348461
"2017-03-27 23:59:59",-0.586207277045687,2.20871557198497,-2.62034409891249
"2017-03-28 23:59:59",-0.603618356723308,2.34580127681983,-2.60179716471581
"2017-03-29 23:59:59",-0.623120788568491,2.20728550603726,-0.862701851603642
"2017-03-30 23:59:59",-0.523081444523151,1.92081885129531,-0.799975728480818
"2017-03-31 23:59:59",-0.510795914218734,1.89223728494497,-0.623816208156199
"2017-04-01 23:59:59",-0.485123344730567,1.65998169208235,0.680073153447156
"2017-04-02 23:59:59",-0.394392864017987,1.20270913150297,1.0849224170261
"2017-04-03 23:59:59",-0.396112002928721,1.02496194925239,1.68804593952207
"2017-04-04 23:59:59",-0.419968431707813,1.26709097249394,4.03277786930929
"2017-04-05 23:59:59",-0.282316440639814,1.02968144262084,2.41187799077664
"2017-04-06 23:59:59",-0.298260970586147,0.958103946393214,1.40033992725541
"2017-04-07 23:59:59",-0.321356616915587,1.07724157631017,1.76479504930115
"2017-04-08 23:59:59",-0.31352892854091,1.02567271237374,1.54816091148345
"2017-04-09 23:59:59",-0.265111553590981,0.977980930307046,0.808864137055388
"2017-04-10 23:59:59",-0.232465336634235,0.94854498038916,0.668626990895382
"2017-04-11 23:59:59",-0.257886420292702,1.07450830281198,1.73496920848527
"2017-04-12 23:59:59",-0.368536404811594,1.26601286577483,1.19321101954517
"2017-04-13 23:59:59",-0.351521055168821,1.08958827767592,1.31979682358331
"2017-04-14 23:59:59",-0.363997515627537,1.15720455010139,1.33584820673996
"2017-04-15 23:59:59",-0.355046354098664,1.10206404326674,1.22755205670211
"2017-04-16 23:59:59",-0.317148130650307,1.05221299592679,1.15160766894654
"2017-04-17 23:59:59",-0.293781773261909,1.16514430273761,0.974391585065517
"2017-04-18 23:59:59",-0.280305403965576,0.978908920208613,0.610730785376939
"2017-04-19 23:59:59",-0.22165548118428,1.06228551218784,0.897868702881598
"2017-04-20 23:59:59",-0.224762075328742,0.963468399684608,1.27039002756928
"2017-04-21 23:59:59",-0.242531907103695,0.95580823796991,1.96158360119218
"2017-04-22 23:59:59",-0.252132969054053,1.01588579365696,2.33698329345042
"2017-04-23 23:59:59",-0.252703408593792,1.0182777026037,2.16182331422176
"2017-04-24 23:59:59",-0.228674884772257,0.98774813387669,2.17511334815284
"2017-04-25 23:59:59",-0.179890037536318,1.16020186151965,2.05395686998268
"2017-04-26 23:59:59",-0.0877115456639592,1.54181885182455,1.89183739494888
"2017-04-27 23:59:59",-0.11739962497026,1.89014941715552,1.70723937406436
"2017-04-28 23:59:59",-0.109073709883474,1.72504291400015,2.21309767752132
"2017-04-29 23:59:59",-0.0657561986571777,2.05428835857485,2.08500288967654
"2017-04-30 23:59:59",0.064421270993053,1.87594570982637,1.88988576086343
"2017-05-01 23:59:59",0.149630842844047,1.85096720925041,1.86448676892955
"2017-05-02 23:59:59",0.261540647021191,1.94619117524998,2.9560599955661
"2017-05-03 23:59:59",0.288028162786226,2.34603796268656,3.38257460511826
"2017-05-04 23:59:59",0.29439223782381,2.17754366615135,3.88927621922953
"2017-05-05 23:59:59",0.39898959085588,2.30239237318317,4.1610646173763
"2017-05-06 23:59:59",0.413321500037435,2.0032884792756,4.40583408316986
"2017-05-07 23:59:59",0.607050467871874,1.89407853230957,3.91680435111814
"2017-05-08 23:59:59",0.77573405455319,1.83592481782624,4.04501249703633
"2017-05-09 23:59:59",0.887779093745824,1.82531561034617,4.27222865604384
"2017-05-10 23:59:59",1.03626848944786,1.786704154734,3.79661320573888
"2017-05-11 23:59:59",0.685783754908276,1.73903612867658,3.44342817917308
"2017-05-12 23:59:59",0.803749979777743,1.73236917871906,3.16910069988763
"2017-05-13 23:59:59",0.826033837418891,1.72438186792331,3.18144663000379
"2017-05-14 23:59:59",0.603903339810546,1.70215923410966,2.52507281648967
"2017-05-15 23:59:59",0.639560848981553,1.55963745574834,2.11736021901019
"2017-05-16 23:59:59",0.844012683309116,1.56192736829093,2.40245408953583
"2017-05-17 23:59:59",1.03749548105331,1.76303446951229,2.72438220425651
"2017-05-18 23:59:59",1.22301118268553,2.30007723275525,2.54541809945483
"2017-05-19 23:59:59",1.37177298563634,2.26995858286269,2.50571716306172
"2017-05-20 23:59:59",1.36572580575686,2.73063138752231,2.25131661343601
"2017-05-21 23:59:59",1.47158846422306,2.77633346313256,1.93947870826582
"2017-05-22 23:59:59",1.86083453882423,3.02857754386782,2.75289302217808
"2017-05-23 23:59:59",2.17494620874394,3.28756392370905,3.06366797239391
"2017-05-24 23:59:59",1.91555213114466,2.94660508204685,2.16599866802912
"2017-05-25 23:59:59",1.60943239949003,2.60942310014635,1.47436607167687
"2017-05-26 23:59:59",1.12583667341957,2.47912310321782,1.37522091816464
"2017-05-27 23:59:59",1.38892797107363,2.64935085518496,1.41458282302754
"2017-05-28 23:59:59",1.50176436027148,2.94877589229058,1.61569677335535
